City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,constitucion,-35.3333,-72.4167,13.72,62,5,1.32,CL,1691504777
124,ciudad bolivar,8.1222,-63.5497,31.88,56,5,2.23,VE,1691504777
125,new norfolk,-42.7826,147.0587,5.95,96,58,1.27,AU,1691504777
126,riyadh,24.6877,46.7219,43.08,5,1,7.36,SA,1691504715
127,urangan,-25.3,152.9,17.3,76,14,6.32,AU,1691504777
128,bardai,11.65,7.2333,27.35,61,100,5.12,NG,1691504777
129,laojunmiao,39.8333,97.7333,28.4,26,81,4.66,CN,1691504777
130,lobito,-12.3481,13.5456,22.31,72,14,4.2,AO,1691504777
131,hinton,53.4001,-117.5857,13.87,91,100,1.32,CA,1691504701
132,velingara,13.15,-14.1167,31.97,59,91,1.89,SN,1691504778
133,carutapera,-1.195,-46.02,27.82,81,85,4.4,BR,1691504778
134,auki,-8.7676,160.7034,24.34,91,98,2.91,SB,1691504778
135,fale old settlement,-9.3852,-171.2468,28.01,73,60,6.08,TK,1691504778
136,ola,59.5833,151.2833,9.21,63,22,4.9,RU,1691504778
137,kashary,49.04,41.0056,34.8,21,0,3.53,RU,1691504779
138,klyuchi,52.2667,79.1667,22.72,43,27,2.32,RU,1691504779
139,la'ie,21.6477,-157.9253,26.05,76,8,3.58,US,1691504779
140,port shepstone,-30.7414,30.455,20.74,72,0,4.91,ZA,1691504779
141,acarau,-2.8856,-40.12,30.98,53,8,7.01,BR,1691504772
142,aioun,16.6614,-9.6149,39.54,14,2,4.76,MR,1691504779
143,fuglafjordur,62.244,-6.814,9.26,80,100,10.3,FO,1691504780
144,turpan,42.9333,89.1667,35.44,24,99,5.58,CN,1691504780
145,charters towers,-20.1,146.2667,14.47,84,99,3.27,AU,1691504780
146,saint-joseph,-21.3667,55.6167,22.21,77,35,3.95,RE,1691504780
147,badiyah,22.45,58.8,34.52,37,94,12.22,OM,1691504549
148,yekaterinovka,52.0508,44.3451,30.78,36,0,2.7,RU,1691504780
149,panaba,21.2833,-88.2667,31.4,60,7,4.18,MX,1691504780
150,bonthe,7.5264,-12.505,27.7,76,72,5.26,SL,1691504780
151,lihue,21.9789,-159.3672,26.77,74,100,8.23,US,1691504574
152,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,93,0,1.0,RU,1691504643
153,celestun,20.8667,-90.4,28.76,75,9,4.27,MX,1691504780
154,utrik,11.2278,169.8474,28.03,79,84,5.28,MH,1691504781
155,nantucket,41.2835,-70.0995,23.34,73,100,8.75,US,1691504665
156,boa vista,2.8197,-60.6733,30.99,62,20,3.09,BR,1691504572
157,sennoy,52.1509,46.9631,32.77,24,2,3.59,RU,1691504781
158,west island,-12.1568,96.8225,25.99,83,40,6.17,CC,1691504781
159,tsiombe,-25.3,45.4833,23.59,59,6,4.86,MG,1691504781
160,port sudan,19.6175,37.2164,35.64,42,48,5.41,SD,1691504781
161,ulaangom,49.9811,92.0667,20.95,64,100,0.85,MN,1691504781
162,touros,-5.1989,-35.4608,29.12,60,31,6.57,BR,1691504664
163,port saint john's,-31.6229,29.5448,20.02,75,26,7.97,ZA,1691504781
164,ampanihy,-24.7,44.75,26.05,39,29,6.16,MG,1691504781
165,cill airne,52.05,-9.5167,20.03,77,75,1.54,IE,1691504782
166,pagouda,9.7525,1.3278,26.27,79,100,5.01,TG,1691504782
167,qaqortoq,60.7167,-46.0333,6.77,73,0,3.96,GL,1691504782
168,al bawiti,28.3492,28.8659,37.33,21,0,6.68,EG,1691504782
169,akjoujt,19.6969,-14.4164,37.72,18,0,3.68,MR,1691504782
170,revda,56.801,59.9303,18.28,90,79,2.88,RU,1691504652
171,kidal,18.4411,1.4078,39.34,21,7,4.53,ML,1691504782
172,nova sintra,14.8667,-24.7167,22.43,72,11,6.15,CV,1691504782
173,ikovka,55.6089,64.9375,24.15,50,100,2.19,RU,1691504782
174,khorinsk,52.1657,109.7726,17.07,71,98,1.92,RU,1691504661
175,malangawa,26.8568,85.5581,25.42,95,100,2.26,NP,1691504782
176,kapuskasing,49.4169,-82.4331,20.05,77,75,2.06,CA,1691504783
177,puerto deseado,-47.7503,-65.8938,9.8,49,61,9.79,AR,1691504783
178,bochum,51.4833,7.2167,19.97,60,100,2.68,DE,1691504783
179,glen innes,-29.7333,151.7333,3.31,95,6,1.97,AU,1691504783
180,grand falls-windsor,48.9332,-55.6649,14.17,89,100,0.45,CA,1691504783
181,paradip garh,20.3167,86.6167,29.77,73,100,3.77,IN,1691504783
182,petauke,-14.2426,31.3253,27.09,22,30,3.13,ZM,1691504783
183,yuzhno-kurilsk,44.0306,145.8556,15.26,99,100,3.26,RU,1691504783
